status_id,created_at,year,screen_name,text,favorite_count,retweet_count,hashtags,display_text_width
x569730008945692672,2/23/15,2015,realDonaldTrump,"The Oscars are a sad joke, very much like our President. So many things are wrong!",32958,42681,,82
x584647721883148288,4/5/15,2015,realDonaldTrump,"I wish everyone, including the haters and losers, a very happy Easter!",38529,38086,,70
x675523728055410689,12/12/15,2015,realDonaldTrump,Dopey Prince @Alwaleed_Talal wants to control our U.S. politicians with daddyäó»s money. Canäó»t do it when I get elected. #Trump2016,22135,20215,Trump2016,129
x630902912949067777,8/11/15,2015,realDonaldTrump,"""@officialjtw: @realDonaldTrump You're iconic! You are going down in the history books! #trump2016""  So nice, thank you.",3640,18522,trump2016,120
x674934005725331456,12/10/15,2015,realDonaldTrump,"The United Kingdom is trying hard to disguise their massive  Muslim problem. Everybody is wise to what is happening, very sad! Be honest.",26955,18176,,137
x654122760860495872,10/14/15,2015,realDonaldTrump,Notice that illegal immigrants will be given ObamaCare and free college tuition but nothing has been mentioned about our VETERANS #DemDebate,24871,16255,DemDebate,140
x666615398574530560,11/17/15,2015,realDonaldTrump,Refugees from Syria are now pouring into our great country. Who knows who they are - some could be ISIS. Is our president insane?,26230,15598,,129
x667329429912338432,11/19/15,2015,realDonaldTrump,Eight Syrians were just caught on the southern border trying to get into the U.S. ISIS maybe? I told you so. WE NEED A BIG &amp; BEAUTIFUL WALL!,27914,14965,,144
x602571404861636608,5/24/15,2015,realDonaldTrump,"I would like to wish everyone, including all haters and losers (of which, sadly, there are many) a truly happy and enjoyable Memorial Day!",17043,14681,,138
x665282108861083648,11/13/15,2015,realDonaldTrump,They laughed at me when I said to bomb the ISIS controlled oil fields. Now they are not laughing and doing what I said. #Trump2016,25325,14277,Trump2016,130
x665316238806007809,11/13/15,2015,realDonaldTrump,My prayers are with the victims and hostages in the horrible Paris attacks. May God be with you all.,28237,12696,,100
x666045638245810176,11/16/15,2015,realDonaldTrump,Glad to see that @RondaRousey lost her championship fight last night. Was soundly beaten - not a nice person!,17747,12486,,109
x639480265841225729,9/3/15,2015,realDonaldTrump,Congratulations to Tom Brady on yet another great victory- Tom is my friend and a total winner!,16590,12335,,95
x642655804684902401,9/12/15,2015,realDonaldTrump,"""@HamishP95: @realDonaldTrump My Dad is thinking of voting for the first time ever for you. http://t.co/1u9qi8qUPc"" Great.",9115,12151,,122
x629992743788523520,8/8/15,2015,realDonaldTrump,"So many ""politically correct"" fools in our country. We have to all get back to work and stop wasting time and energy on nonsense!",20242,11910,,129
x610838591242137600,6/16/15,2015,realDonaldTrump,I am officially running for President of the United States. #MakeAmericaGreatAgain https://t.co/Ct0lNu7kz0,12171,11746,MakeAmericaGreatAgain,106
x597889563831496704,5/11/15,2015,realDonaldTrump,"They had no definitive proof against Tom Brady or #patriots. If Hillary doesn't have to produce Emails, why should Tom? Very unfair!",9644,10355,patriots,132
