status_id,created_at,year,screen_name,text,favorite_count,retweet_count,hashtags,display_text_width
x8033746720,1/21/10,2010,realDonaldTrump,"from Donald Trump: ""I saw Lady Gaga last night and she was fantastic!""",7968,9761,,70
x17979321264115714,12/23/10,2010,realDonaldTrump,Wishing everyone a very Happy Holiday season!,8330,9527,,45
x12580081834,4/21/10,2010,realDonaldTrump,Melania and I saw American Idiot on Broadway last night and it was great. An amazing  theatrical experience!,5463,3649,,108
x7793032738,1/15/10,2010,realDonaldTrump,Trump Tycoon App for iPhone & iPod Touch - It's $2.99 but the advice is priceless! http://bit.ly/UGUF0,335,310,,102
x14785576859340800,12/14/10,2010,realDonaldTrump,"I'll be appearing on Larry King Live for his final show, Thursday night at 9 p.m., CNN. Larry's been on TV for 25 years...",40,251,,122
x14848387814,5/27/10,2010,realDonaldTrump,"The Dunes here are amazing, and  they're how I learned about geomorphology, which is the study of movement landforms. We've had a great trip",392,251,,140
x7504103261347840,11/24/10,2010,realDonaldTrump,My best wishes to everyone for a Happy Thanksgiving!,435,225,,52
x22003109005,8/24/10,2010,realDonaldTrump,"Congratulations to Miss Mexico, Jimena Navarrete, our new Miss Universe 2010, and congratulations to everyone for a fantastic show.",90,217,,131
x20595488004775936,12/30/10,2010,realDonaldTrump,"WIshing everyone a happy, healthy and prosperous New Year!",120,185,,58
x22644749933,8/31/10,2010,realDonaldTrump,Went to the Yankees game last night with Bill O'Reilly--we had a great time watching the Yankees win!,117,128,,101
x15413432119459840,12/16/10,2010,realDonaldTrump,"Don't forget to watch Larry King tonight, CNN at 9 pm.  He's a television legend and a great friend. It's going to be a fantastic farewell.",22,114,,139
x14171725850,5/17/10,2010,realDonaldTrump,"Congratulations to our new Miss USA,  the beautiful Rima Fakih.  Rima will represent us well at Miss Universe and be a wonderful Miss USA .",183,113,,139
x25988176664,9/30/10,2010,realDonaldTrump,Tune in tonight at 10 pm on NBC for another exciting episode of The Apprentice -- and see the Dog Whisperer make an appearance.,117,92,,127
x12535153342,4/20/10,2010,realDonaldTrump,Tune in to The Marriage Ref onThursday night at 10 p.m. on NBC--I'm on the panel of experts along with Gloria Estefan & Adam Carolla.,84,88,,133
x18531733257,7/14/10,2010,realDonaldTrump,George Steinbrenner was a great friend and a true legend. There will never be anyone like him in New York. We've lost a truly great man.,18,82,,136
x19000595542,7/20/10,2010,realDonaldTrump,"I'm proud to accept the 2010 HollyRod Foundation Humanitarian Award from Holly Robinson Peete, who raised $700,000 on Celebrity Apprentice",17,75,,138
x12104502409,4/13/10,2010,realDonaldTrump,Looking forward to seeing the World Champion Yankees today on opening day!,29,72,,74
x21004697973,8/12/10,2010,realDonaldTrump,So don't forget to enter the Serta Counting Sheep for Hire contest!  www.youtube.com/user/mattressserta,46,63,,103
x24673275254,9/16/10,2010,realDonaldTrump,Don't forget to tune in tonight for the two hour premiere of The Apprentice. 9 pm EST on NBC. We're all in for a fantastic new season!,13,61,,134
x21598934653,8/19/10,2010,realDonaldTrump,The original Apprentice returns with a two hour premiere on Thursday September 16th. Looking forward to a fantastic season!,11,61,,123
x12884286007,4/26/10,2010,realDonaldTrump,Our thoughts and prayers remain with Bret Michaels and his family and for his speedy recovery.,13,61,,94
x12960183131045888,12/9/10,2010,realDonaldTrump,"Tonight is the Apprentice finale---and it's a fantastic episode in every way, with the great Liza Minnelli performing and a new Apprentice!",10,58,,139
x21915730688,8/23/10,2010,realDonaldTrump,It's going to get hotter in Las Vegas tonight! Watch the Miss Universe Pageant tonight on NBC at 9 p.m. I'm looking forward to being there!,5,52,,139
x24508012246,9/14/10,2010,realDonaldTrump,"I am very happy to have the civilian version of ""The Apprentice"" back on the air this fall. There will be excitement as well as opportunity.",15,50,,140
x14628551705,5/24/10,2010,realDonaldTrump,"Congratulations to Bret Michaels, the new Celebrity Apprentice. Bret's a true champion, all of us were happy to see him and to see him win!",14,49,,139
x13242093694623744,12/10/10,2010,realDonaldTrump,Congratulations to Brandy as our new Apprentice and to Clint for being a great player. It's been a terrific season!,15,47,,115
x21601308367,8/19/10,2010,realDonaldTrump,Four more days until the Miss Universe Pageant. Be sure to tune in on Monday night at 9 p.m. on NBC--it will be an amazing show.,7,47,,128
x22742724001,9/1/10,2010,realDonaldTrump,I'll be on The Late Show with David Letterman tonight--be sure to tune in for a great show. 11:30 pm on CBS.,6,46,,108
x27362772649,10/14/10,2010,realDonaldTrump,"An HR solutions company polled 1,000 employed adults to find out who would make ideal bosses...   http://bit.ly/9uP9vj",24,46,,118
x10683036402,3/18/10,2010,realDonaldTrump,I am happy to announce that theoriginal Apprentice --which will offer job opportunities to those in need--is coming back.,11,46,,121
x10988912416,3/24/10,2010,realDonaldTrump,The original Apprentice is coming back--do you have what it takes to be the next Apprentice? For casting details: http://tinyurl.com/yly2c8u,15,46,,140
x25330385195,9/23/10,2010,realDonaldTrump,Don't forget to tune in tonight at 10 p.m. on NBC for another action packed episode of The Apprentice.   http://bit.ly/bnAuAv,7,44,,125
x17580961111,7/2/10,2010,realDonaldTrump,"Due to popular demand, CNN will re-broadcast  the Larry King Live show I hosted in June, in which I interview Larry. Monday July 5, 9 pm CNN",24,43,,140
x17872565508,7/6/10,2010,realDonaldTrump,The new edition of The Apprentice will be on Thursdays this fall at 10 pm ET---I'm putting people back to work!,7,42,,111
