status_id,created_at,year,screen_name,text,favorite_count,retweet_count,hashtags,display_text_width
x881503147168071680,7/2/17,2017,realDonaldTrump,#FraudNewsCNN #FNN https://t.co/WYUnHjjUjg,586781,361835,FraudNewsCNN FNN,18
x929511061954297857,11/12/17,2017,realDonaldTrump,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so hard to be his friend - and maybe someday that will happen!",617587,271745,,175
x927672843504177152,11/6/17,2017,realDonaldTrump,"I have great confidence in King Salman and the Crown Prince of Saudi Arabia, they know exactly what they are doing....",110779,107927,,118
x927673257230327808,11/6/17,2017,realDonaldTrump,....Some of those they are harshly treating have been äóìmilkingäóù their country for years!,66161,102941,,88
x865865814099939328,5/20/17,2017,realDonaldTrump,"Great to be in Riyadh, Saudi Arabia. Looking forward to the afternoon and evening ahead. #POTUSAbroad https://t.co/JJOra0KfyR",99590,96395,POTUSAbroad,101
x823174199036542980,1/22/17,2017,realDonaldTrump,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",391918,88538,,137
x872062159789985792,6/6/17,2017,realDonaldTrump,During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!,76383,86563,,139
x869858333477523458,5/31/17,2017,realDonaldTrump,"Who can figure out the true meaning of ""covfefe"" ???  Enjoy!",204019,82835,,60
x932303108146892801,11/19/17,2017,realDonaldTrump,"Now that the three basketball players are out of China and saved from years in jail, LaVar Ball, the father of LiAngelo, is unaccepting of what I did for his son and that shoplifting is no big deal. I should have left them in jail!",273759,76295,,231
x914810093874671617,10/2/17,2017,realDonaldTrump,My warmest condolences and sympathies to the victims and families of the terrible Las Vegas shooting. God bless you!,314133,74263,,116
x871325606901895168,6/4/17,2017,realDonaldTrump,We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,240006,74258,,140
x912301271817838593,9/25/17,2017,realDonaldTrump,#StandForOurAnthem,205706,73469,StandForOurAnthem,18
x828447350200926212,2/6/17,2017,realDonaldTrump,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",261828,71217,,106
x921716470140325889,10/21/17,2017,realDonaldTrump,"Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened.",210781,69707,,136
x822421390125043713,1/20/17,2017,realDonaldTrump,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,263566,69022,,112
x946531657229701120,12/29/17,2017,realDonaldTrump,"In the East, it could be the COLDEST New Yearäó»s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",208775,66660,,240
x829836231802515457,2/9/17,2017,realDonaldTrump,"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!",231957,65916,,57
x898243270169563136,8/17/17,2017,realDonaldTrump,"The United States condemns the terror attack in Barcelona, Spain, and will do whatever is necessary to help. Be tough &amp; strong, we love you!",217831,64781,,144
x827885966509604865,2/4/17,2017,realDonaldTrump,MAKE AMERICA GREAT AGAIN!,250373,64500,,25
x871145660036378624,6/3/17,2017,realDonaldTrump,"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",259947,64092,,117
x911572182060453893,9/23/17,2017,realDonaldTrump,"Going to the White House is considered a great honor for a championship team.Stephen Curry is hesitating,therefore invitation is withdrawn!",211237,63412,,139
x827478751931924480,2/3/17,2017,realDonaldTrump,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",167228,63192,,97
x827112633224544256,2/2/17,2017,realDonaldTrump,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,212788,62863,,136
x871328428963901440,6/4/17,2017,realDonaldTrump,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",158740,62043,,108
x946949708915924994,12/30/17,2017,realDonaldTrump,"Many reports of peaceful protests by Iranian citizens fed up with regimeäó»s corruption &amp; its squandering of the nationäó»s wealth to fund terrorism abroad. Iranian govt should respect their peopleäó»s rights, including right to express themselves. The world is watching! #IranProtests",144850,61749,IranProtests,283
x835479283699224576,2/25/17,2017,realDonaldTrump,The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.,197011,61309,,138
x822502270503972872,1/20/17,2017,realDonaldTrump,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",215338,60156,,99
x826774668245946368,2/1/17,2017,realDonaldTrump,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",247050,59443,,140
x895970429734711298,8/11/17,2017,realDonaldTrump,"Military solutions are now fully in place,locked and loaded,should North Korea act unwisely.  Hopefully Kim Jong Un will find another path!",172737,58619,,139
x896420822780444672,8/12/17,2017,realDonaldTrump,We ALL must be united &amp; condemn all that hate stands for. There is no place for this kind of violence in America. Lets come together as one!,191955,58451,,144
